seed,method,condition,alpha,auc_roc,f1_minority,avg_precision
42,Baseline,real_only,0.0,0.7476691729323308,0.0,0.014740235325735353
42,GaussianCopula,augmented,0.1,0.8775438596491228,0.0,0.015231277148002787
42,GaussianCopula,augmented,0.2,0.8821553884711778,0.0,0.0129750218363704
42,GaussianCopula,augmented,0.3,0.7404010025062656,0.0,0.011965191466013766
42,GaussianCopula,augmented,0.5,0.7514786967418546,0.0,0.012331274847935387
42,GaussianCopula,augmented,1.0,0.8606516290726818,0.0,0.010321773980823165
42,CTGAN,augmented,0.1,0.8781954887218045,0.0,0.020382711922635875
42,CTGAN,augmented,0.2,0.9229573934837092,0.0,0.06777469500581629
42,CTGAN,augmented,0.3,0.8824060150375941,0.0,0.059244949688223386
42,CTGAN,augmented,0.5,0.9370426065162908,0.25,0.08509784506938485
42,CTGAN,augmented,1.0,0.9125814536340853,0.16666666666666666,0.11868534823357503
42,SMOTE,augmented,0.1,0.898546365914787,0.18181818181818182,0.06068425833796627
42,SMOTE,augmented,0.2,0.9252631578947368,0.18181818181818182,0.08249429982722255
42,SMOTE,augmented,0.3,0.9340350877192982,0.13333333333333333,0.06775006662284365
42,SMOTE,augmented,0.5,0.9324310776942356,0.13333333333333333,0.06649493790755423
42,SMOTE,augmented,1.0,0.9081704260651631,0.1111111111111111,0.054703399957676806
123,Baseline,real_only,0.0,0.9790203945168839,0.4,0.3814922060476096
123,GaussianCopula,augmented,0.1,0.8122701437646274,0.2222222222222222,0.20835593566585195
123,GaussianCopula,augmented,0.2,0.9831995987963892,0.4,0.25434850785486124
123,GaussianCopula,augmented,0.3,0.8116014710799064,0.16666666666666666,0.23832589827955958
123,GaussianCopula,augmented,0.5,0.9856235372785023,0.26666666666666666,0.39688417172889223
123,GaussianCopula,augmented,1.0,0.9848712805081913,0.4444444444444444,0.39737724149488857
123,CTGAN,augmented,0.1,0.9816115011701771,0.2,0.1578039506899083
123,CTGAN,augmented,0.2,0.9852056168505516,0.2222222222222222,0.19366954115530965
123,CTGAN,augmented,0.3,0.9847876964226011,0.15384615384615385,0.26298331298331296
123,CTGAN,augmented,0.5,0.9889251086593113,0.2857142857142857,0.36509971509971506
123,CTGAN,augmented,1.0,0.9833667669675694,0.25,0.15174069701827453
123,SMOTE,augmented,0.1,0.980692076228686,0.26666666666666666,0.26905190879709767
123,SMOTE,augmented,0.2,0.977432296890672,0.35294117647058826,0.3219828436935126
123,SMOTE,augmented,0.3,0.9717485790705449,0.21052631578947367,0.26742648022139853
123,SMOTE,augmented,0.5,0.9827816783684387,0.2222222222222222,0.32296785193126654
123,SMOTE,augmented,1.0,0.9792711467736542,0.17142857142857143,0.3543634481886287
7,Baseline,real_only,0.0,0.9653543965229021,0.3076923076923077,0.2866824906119212
7,GaussianCopula,augmented,0.1,0.9716649949849548,0.3333333333333333,0.24978340627820428
7,GaussianCopula,augmented,0.2,0.9599632230023404,0.3076923076923077,0.23193195235356798
7,GaussianCopula,augmented,0.3,0.9692410565028419,0.2857142857142857,0.17023865760048515
7,GaussianCopula,augmented,0.5,0.9574139083918423,0.26666666666666666,0.22414186202244646
7,GaussianCopula,augmented,1.0,0.9627214978268137,0.23529411764705882,0.15800168283940902
7,CTGAN,augmented,0.1,0.9857071213640922,0.2,0.1885620642337932
7,CTGAN,augmented,0.2,0.9887997325309261,0.3076923076923077,0.18777966606012747
7,CTGAN,augmented,0.3,0.9807756603142762,0.2,0.18250041991049187
7,CTGAN,augmented,0.5,0.9867101303911734,0.0,0.15927465927465928
7,CTGAN,augmented,1.0,0.9851220327649616,0.18181818181818182,0.1952342574683
7,SMOTE,augmented,0.1,0.9804413239719157,0.35294117647058826,0.3708333333333333
7,SMOTE,augmented,0.2,0.9848712805081913,0.2727272727272727,0.37286632341410186
7,SMOTE,augmented,0.3,0.9866265463055834,0.25,0.37798452714419095
7,SMOTE,augmented,0.5,0.9826980942828485,0.23076923076923078,0.4403085177733065
7,SMOTE,augmented,1.0,0.9835339351387496,0.1935483870967742,0.537439249203955
2024,Baseline,real_only,0.0,0.5670175438596491,0.2857142857142857,0.10806457983833018
2024,GaussianCopula,augmented,0.1,0.9165914786967418,0.2,0.05404633200171986
2024,GaussianCopula,augmented,0.2,0.43358395989974935,0.25,0.07011240826491243
2024,GaussianCopula,augmented,0.3,0.4154385964912281,0.0,0.0044242206820071395
2024,GaussianCopula,augmented,0.5,0.5650125313283207,0.0,0.008488856489130413
2024,GaussianCopula,augmented,1.0,0.792982456140351,0.0,0.06461310230239733
2024,CTGAN,augmented,0.1,0.9855639097744361,0.0,0.17830979200190716
2024,CTGAN,augmented,0.2,0.990375939849624,0.3333333333333333,0.3787416207606027
2024,CTGAN,augmented,0.3,0.9898746867167919,0.14285714285714285,0.13993506493506494
2024,CTGAN,augmented,0.5,0.9885714285714285,0.2,0.1481818181818182
2024,CTGAN,augmented,1.0,0.9852631578947367,0.2,0.13262626262626265
2024,SMOTE,augmented,0.1,0.9707268170426065,0.16666666666666666,0.07062495859164261
2024,SMOTE,augmented,0.2,0.980952380952381,0.14285714285714285,0.1046936396936397
2024,SMOTE,augmented,0.3,0.9785463659147869,0.15384615384615385,0.11542826526227003
2024,SMOTE,augmented,0.5,0.9749373433583959,0.125,0.09246818344562704
2024,SMOTE,augmented,1.0,0.960701754385965,0.09523809523809523,0.09497709530144474
999,Baseline,real_only,0.0,0.9691389028405603,0.3,0.2887628188829562
999,GaussianCopula,augmented,0.1,0.9804676600256712,0.26666666666666666,0.21321319807780156
999,GaussianCopula,augmented,0.2,0.9688598694123556,0.3333333333333333,0.19942514413407558
999,GaussianCopula,augmented,0.3,0.9513923768067414,0.25,0.12461179794145538
999,GaussianCopula,augmented,0.5,0.9617166136503155,0.24,0.1531860108155104
999,GaussianCopula,augmented,1.0,0.8578045649868853,0.32,0.23060108069701052
999,CTGAN,augmented,0.1,0.9756682850605503,0.35294117647058826,0.29442410879594233
999,CTGAN,augmented,0.2,0.9844299347061778,0.23529411764705882,0.2203071240842479
999,CTGAN,augmented,0.3,0.9788492661420839,0.23529411764705882,0.298428288607716
999,CTGAN,augmented,0.5,0.9683576092415872,0.2,0.1652304505922927
999,CTGAN,augmented,1.0,0.982365087337463,0.2,0.22861199916483474
999,SMOTE,augmented,0.1,0.9671856688431275,0.2608695652173913,0.17871484731095083
999,SMOTE,augmented,0.2,0.9585914392544227,0.2222222222222222,0.17913961734823733
999,SMOTE,augmented,0.3,0.9569172386851945,0.15384615384615385,0.20233197545021614
999,SMOTE,augmented,0.5,0.9523410904626375,0.13793103448275862,0.20173923345143285
999,SMOTE,augmented,1.0,0.9549081980021206,0.14634146341463414,0.15052243308321137
