seed,method,alpha,auc
42,Baseline,0.0,0.991721740073234
42,GaussianCopula,0.1,0.9914931915963157
42,GaussianCopula,0.2,0.9904576390634319
42,GaussianCopula,0.3,0.9905931664621435
42,GaussianCopula,0.5,0.9899832931679406
42,GaussianCopula,1.0,0.989771377599046
42,CTGAN,0.1,0.9903079428912184
42,CTGAN,0.2,0.9906215040091468
42,CTGAN,0.3,0.9906744829013705
42,CTGAN,0.5,0.9890142722671516
42,CTGAN,1.0,0.9883372513072233
123,Baseline,0.0,0.9918474109338578
123,GaussianCopula,0.1,0.9916749215173155
123,GaussianCopula,0.2,0.9903658500524861
123,GaussianCopula,0.3,0.9898976644933
123,GaussianCopula,0.5,0.9894060696561547
123,GaussianCopula,1.0,0.9886834622075688
123,CTGAN,0.1,0.9912239848997836
123,CTGAN,0.2,0.9903319682028081
123,CTGAN,0.3,0.9897140864714086
123,CTGAN,0.5,0.988817141505389
123,CTGAN,1.0,0.9884672344032605
7,Baseline,0.0,0.9922422884910131
7,GaussianCopula,0.1,0.9914420608049834
7,GaussianCopula,0.2,0.9908106263337129
7,GaussianCopula,0.3,0.9905703732178147
7,GaussianCopula,0.5,0.9902882298150422
7,GaussianCopula,1.0,0.9886200107436266
7,CTGAN,0.1,0.9924757652369759
7,CTGAN,0.2,0.9908124744346044
7,CTGAN,0.3,0.9903806348596182
7,CTGAN,0.5,0.9894590485483784
7,CTGAN,1.0,0.9895335886176698
2024,Baseline,0.0,0.9920125079468338
2024,GaussianCopula,0.1,0.9911845587474312
2024,GaussianCopula,0.2,0.990829107342628
2024,GaussianCopula,0.3,0.990199520972249
2024,GaussianCopula,0.5,0.9896765084199476
2024,GaussianCopula,1.0,0.9892021625244566
2024,CTGAN,0.1,0.9909245925553568
2024,CTGAN,0.2,0.9909480018333161
2024,CTGAN,0.3,0.9900097826140524
2024,CTGAN,0.5,0.9895015548688834
2024,CTGAN,1.0,0.9877557155600238
999,Baseline,0.0,0.9894701371537276
999,GaussianCopula,0.1,0.9884000867375351
999,GaussianCopula,0.2,0.9879737914652236
999,GaussianCopula,0.3,0.9870805427009872
999,GaussianCopula,0.5,0.9878167028894442
999,GaussianCopula,1.0,0.987538871722085
999,CTGAN,0.1,0.9887703229494704
999,CTGAN,0.2,0.9873201797832547
999,CTGAN,0.3,0.9871039519789464
999,CTGAN,0.5,0.9865187200299639
999,CTGAN,1.0,0.9856464164091646
