n_real,condition,auc_roc,f1_minority,avg_precision
250,real_only,0.9770145531784871,0.8788732394366198,0.955844980052134
250,ctgan_augmented,0.9771334476691752,0.849609375,0.9513480857919783
250,smote_augmented,0.9789452025764991,0.8841911764705882,0.9579800464358746
500,real_only,0.9828132777424585,0.8945454545454545,0.9621563924205153
500,ctgan_augmented,0.9780525698458931,0.8785388127853881,0.9537120797525362
500,smote_augmented,0.9802247044270642,0.8846153846153846,0.9573787653837537
1000,real_only,0.9838408218381458,0.9028156221616712,0.9614024571181587
1000,ctgan_augmented,0.9839572521943117,0.8761726078799249,0.963735164271001
1000,smote_augmented,0.9838488302753423,0.9009640666082384,0.9568572050701202
2000,real_only,0.9900898669860185,0.9165154264972777,0.9786017683109965
2000,ctgan_augmented,0.9866622558658723,0.9022140221402214,0.9690841470676246
2000,smote_augmented,0.9879577745908306,0.9131205673758865,0.9730327969968232
