dataset,method,alpha,condition,auc_roc,f1_minority,avg_precision
Nomao Lead,Baseline,0.0,real_only,0.991721740073234,0.9255605381165919,0.9812928493438589
Nomao Lead,GaussianCopula,1.0,synthetic_only,0.9149701100482477,0.6019007391763463,0.7422925347512397
Nomao Lead,GaussianCopula,0.1,augmented,0.9914931915963157,0.9228007181328546,0.9814232375931832
Nomao Lead,GaussianCopula,0.2,augmented,0.9904576390634319,0.9256938227394808,0.9794341331834676
Nomao Lead,GaussianCopula,0.3,augmented,0.9905931664621435,0.926829268292683,0.9800332936540141
Nomao Lead,GaussianCopula,0.5,augmented,0.9899832931679406,0.9204647006255585,0.978182990444501
Nomao Lead,GaussianCopula,1.0,augmented,0.989771377599046,0.9177101967799642,0.9774817589850704
Nomao Lead,CTGAN,1.0,synthetic_only,0.8879909172001519,0.4152431011826544,0.7356367150727462
Nomao Lead,CTGAN,0.1,augmented,0.9915911409435665,0.9200359389038635,0.9818463826815089
Nomao Lead,CTGAN,0.2,augmented,0.9907939934256891,0.9272237196765498,0.9794645144861358
Nomao Lead,CTGAN,0.3,augmented,0.9902987023867607,0.920863309352518,0.9783459638886949
Nomao Lead,CTGAN,0.5,augmented,0.9902401791918625,0.9192100538599641,0.9780758327621507
Nomao Lead,CTGAN,1.0,augmented,0.9874304498031156,0.9067873303167421,0.9719459783093304
Nomao Lead,SMOTE,0.1,augmented,0.9919804741980475,0.93048128342246,0.9824651086173727
Nomao Lead,SMOTE,0.2,augmented,0.9919459763147389,0.9273049645390071,0.9823522397239854
Nomao Lead,SMOTE,0.3,augmented,0.9917611662255866,0.9293286219081273,0.9819463696299547
Nomao Lead,SMOTE,0.5,augmented,0.9916256388268748,0.9264448336252189,0.9816051227538499
Nomao Lead,SMOTE,1.0,augmented,0.9915831325063698,0.9193825042881647,0.9806432821951426
