method,alpha,auc_roc,f1_minority,avg_precision
GaussianCopula,0.1,0.9431762991743565,0.7719298245614035,0.8698387529377556
GaussianCopula,0.2,0.9528897523069452,0.8070175438596491,0.8898256084387115
GaussianCopula,0.3,0.9679456046624575,0.8148148148148148,0.9333546460408545
GaussianCopula,0.5,0.9490043710539096,0.7307692307692307,0.8730575279499205
GaussianCopula,1.0,0.9446333171442447,0.72,0.8570064103261235
CTGAN,0.1,0.946090335114133,0.7407407407407407,0.8825826921309763
CTGAN,0.2,0.9626032054395338,0.7450980392156863,0.9065590438358556
CTGAN,0.3,0.9431762991743564,0.7777777777777778,0.884503382515866
CTGAN,0.5,0.953861097620204,0.8333333333333334,0.9032081127171303
CTGAN,1.0,0.9135502671199611,0.7037037037037037,0.7888111354856309
GaussianCopula_TSTR,0.0,0.49150072850898496,0.25,0.2792494683687626
CTGAN_TSTR,0.0,0.39728023312287514,0.22950819672131148,0.2789961223867355
